age,gender_cd,residence_pr_cd,occ_cd,crdt_lim_yx,pril_bal,lim_use_ratio,total_loan_cnt,total_loan_amt,apply_cnt,wdraw_cnt,wdraw_success_rate,if_bj_10_yn,if_bj_30_yn,reject_freq,push_cnt,sms_charge_cnt,is_coupon_issue,crdt_lim_yx_is_null,pril_bal_is_null,total_loan_cnt_is_null,total_loan_amt_is_null,apply_cnt_is_null,wdraw_cnt_is_null,push_cnt_is_null,sms_charge_cnt_is_null,recv_to_touch_days,lim_level,is_zero_limit,wdraw_success_ratio,unwdraw_ratio,has_loan,avg_loan_amt,loan_to_limit_ratio,total_touch_cnt,touch_response_ratio,sms_touch_ratio,occ_lim_interaction,实际标签,预测概率,预测标签,错误类型
26,0,2,1,30074,23464,0.7802088182483208,2,7213,3,3,1.0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.0,3,0,1.0,0.0,1,3606.5,0.239841723748088,4,0.75,0.25,8,1,0.3203330914250806,0,假阴性(FN)
45,0,3,2,8358,6219,0.7440775305096913,3,18397,3,1,0.3333333333333333,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0.0,0,0,0.3333333333333333,0.6666666666666666,1,6132.333333333333,2.2011246709739174,8,0.125,0.625,10,1,0.2085454405527445,0,假阴性(FN)
37,0,1,3,24942,18690,0.7493384652393553,7,47660,3,3,1.0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,2.0,2,0,1.0,0.0,1,6808.571428571428,1.9108331328682544,9,0.3333333333333333,0.7777777777777778,17,1,0.2149131527659848,0,假阴性(FN)
