阈值,假阳性(FP),假阴性(FN),总错误数,准确率,精确率,召回率,F1分数
0.3,26,3,29,0.9033333333333333,0.6578947368421053,0.9433962264150944,0.7751937984496124
0.4,26,3,29,0.9033333333333333,0.6578947368421053,0.9433962264150944,0.7751937984496124
0.5,23,4,27,0.91,0.6805555555555556,0.9245283018867925,0.784
0.6,19,6,25,0.9166666666666666,0.7121212121212122,0.8867924528301887,0.7899159663865547
0.7,13,8,21,0.93,0.7758620689655172,0.8490566037735849,0.8108108108108107
0.8,6,13,19,0.9366666666666666,0.8695652173913043,0.7547169811320755,0.8080808080808081
